table_name,row_count,column_count,primary_key,duplicate_primary_keys,missing_required_values,status
dim_calendar.csv,731,11,date,0,0,OK
dim_ports.csv,18,13,port_id,0,0,OK
dim_facilities.csv,18,10,facility_id,0,0,OK
dim_projects.csv,7,10,project_id,0,0,OK
dim_carriers.csv,12,9,carrier_id,0,0,OK
dim_vessels.csv,14,9,vessel_id,0,0,OK
dim_cargo_types.csv,10,8,cargo_type_id,0,0,OK
fact_shipments.csv,900,50,shipment_id,0,0,OK
fact_route_legs.csv,2436,31,leg_id,0,0,OK
fact_events.csv,5772,9,event_id,0,0,OK
fact_incidents.csv,55,13,incident_id,0,0,OK
fact_port_congestion.csv,432,9,port_month_id,0,0,OK
fact_fuel_prices.csv,24,6,fuel_month_id,0,0,OK
